"id_attempts","word_sent","position_array","right_letters_in_wrong_positions","score","try_datetime","id_game","attepmts"
532,"gruesas","[True, True, True, True, True, True, True]",,1,"2022-07-18T01:39:29.517100","62d4b9cd1251332fdf164d19",4
533,"descubria","[False, False, False, False, False, False, False, False, True]","e_c_u_r",0.5555555555555556,"2022-07-18T01:39:32.539773","62d4b9d31251332fdf164d1f",1
534,"conjetura","[False, False, False, False, True, False, False, True, True]","c_n_t_u",0.4444444444444444,"2022-07-18T01:39:33.617100","62d4b9d31251332fdf164d1f",2
535,"encuentra","[True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:39:34.539952","62d4b9d31251332fdf164d1f",3
536,"cambridge","[False, False, False, False, False, False, False, False, False]","a_m_b_r_i",0.3333333333333333,"2022-07-18T01:39:37.297140","62d4b9d81251332fdf164d24",1
537,"bronislaw","[False, False, False, False, False, False, False, False, False]","b_r_i_s_l_a",0.4444444444444444,"2022-07-18T01:39:38.262373","62d4b9d81251332fdf164d24",2
538,"vislumbra","[True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:39:39.142474","62d4b9d81251332fdf164d24",3
539,"cuestionable","[False, False, False, False, False, False, False, False, False, False, False, False]","c_u_e_i_o_n_l_e",0.3333333333333333,"2022-07-18T01:39:41.659921","62d4b9dc1251332fdf164d29",1
540,"enorgullecio","[True, True, True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:39:42.639767","62d4b9dc1251332fdf164d29",2
541,"museografia","[False, False, False, False, False, False, False, False, False, False, False]","u_s_e_o_a_i_a",0.36363636363636365,"2022-07-18T01:39:45.663556","62d4b9e01251332fdf164d2d",1
542,"coahuilense","[False, False, False, False, False, False, False, False, True, False, False]","c_o_a_u_i_e_s",0.36363636363636365,"2022-07-18T01:39:46.737314","62d4b9e01251332fdf164d2d",2
543,"ubicaciones","[False, False, False, False, True, True, True, True, True, True, True]","u_c",0.7272727272727273,"2022-07-18T01:39:47.704596","62d4b9e01251332fdf164d2d",3
544,"situaciones","[False, False, False, False, True, True, True, True, True, True, True]","s_u",0.7272727272727273,"2022-07-18T01:39:48.640644","62d4b9e01251332fdf164d2d",4
545,"ocupaciones","[False, True, True, False, True, True, True, True, True, True, True]",,0.8181818181818182,"2022-07-18T01:39:49.643556","62d4b9e01251332fdf164d2d",5
546,"migraciones","[True, False, False, False, True, False, False, False, False, False, True]","i_r_o_n",0.45454545454545453,"2022-07-18T01:39:52.499806","62d4b9e71251332fdf164d34",6
547,"mandatarios","[True, True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:39:53.579789","62d4b9e71251332fdf164d34",7
548,"cambridge","[False, False, False, False, False, False, False, False, False]","c_a_r_d",0.2222222222222222,"2022-07-18T01:39:56.362468","62d4b9eb1251332fdf164d38",1
549,"produzcan","[False, True, False, True, True, False, False, False, False]","o_c_a",0.4444444444444444,"2022-07-18T01:39:57.439938","62d4b9eb1251332fdf164d38",2
550,"traductor","[True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:39:58.337437","62d4b9eb1251332fdf164d38",3
551,"cortas","[False, False, True, False, False, False]","a",0.16666666666666666,"2022-07-18T01:40:01.137273","62d4b9f01251332fdf164d3d",1
552,"margen","[False, True, True, False, True, True]",,0.6666666666666666,"2022-07-18T01:40:02.061479","62d4b9f01251332fdf164d3d",2
553,"warden","[True, True, True, True, True, True]",,1,"2022-07-18T01:40:02.939982","62d4b9f01251332fdf164d3d",3
554,"ciertas","[False, True, False, False, False, False, True]","a",0.42857142857142855,"2022-07-18T01:40:05.903296","62d4b9f41251332fdf164d42",1
555,"ligados","[False, True, False, True, True, True, True]",,0.7142857142857143,"2022-07-18T01:40:06.902766","62d4b9f41251332fdf164d42",2
556,"fijados","[True, True, True, True, True, True, True]",,1,"2022-07-18T01:40:07.799891","62d4b9f41251332fdf164d42",3
557,"descubria","[False, False, False, False, False, False, False, False, False]","e_s_c_a",0.2222222222222222,"2022-07-18T01:40:10.580132","62d4b9f91251332fdf164d47",1
558,"solamente","[False, False, False, True, False, True, True, False, False]","s_l_m_e",0.5555555555555556,"2022-07-18T01:40:11.622432","62d4b9f91251332fdf164d47",2
559,"almacenes","[True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:40:12.497283","62d4b9f91251332fdf164d47",3
560,"computadores","[False, False, False, False, False, False, False, False, False, False, True, True]","m_u_a_r",0.3333333333333333,"2022-07-18T01:40:15.240295","62d4b9fe1251332fdf164d4c",1
561,"innumerables","[True, True, True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:40:16.241992","62d4b9fe1251332fdf164d4c",2
562,"cultivos","[False, False, False, True, False, False, False, True]","o",0.25,"2022-07-18T01:40:19.079973","62d4ba021251332fdf164d50",1
711,"lado","[False, True, False, True]",,0.5,"2022-07-18T02:59:46.871552","62d4cca1f1686d7690058599",2
563,"montañas","[True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:40:20.140296","62d4ba021251332fdf164d50",3
