"id_people","id_date","id_games","word_sent","score","amount_attempts"
1,19072022,49,"admitiria",0.2222,1
1,19072022,49,"ingeniero",0.3333,2
1,19072022,49,"recogiese",1,3
1,19072022,50,"admitiria",0.3333,1
1,19072022,50,"cuestiona",1,2
1,19072022,51,"artificios",0.4,1
1,19072022,51,"isquemicas",1,2
1,19072022,52,"artificios",0.4,1
1,19072022,52,"devinieron",0.8,2
1,19072022,52,"revivieron",1,3
1,19072022,53,"camaras",0.2857,1
1,19072022,53,"germana",0.4286,2
1,19072022,53,"primado",1,3
1,19072022,54,"marita",0.3333,1
1,19072022,54,"regido",0.6667,2
1,19072022,54,"reviso",1,3
1,19072022,55,"artificios",0.5,1
1,19072022,55,"culinarios",1,2
1,19072022,56,"camaras",0.1429,1
1,19072022,56,"destino",0.4286,2
1,19072022,56,"injusto",0.5714,3
1,19072022,56,"intonso",1,4
1,19072022,57,"peloritanos",0.2727,1
1,19072022,57,"yacimientos",0.9091,2
1,19072022,57,"nacimientos",1,3
1,19072022,58,"generadas",0.4444,1
1,19072022,58,"afectados",0.4444,2
1,19072022,58,"calidades",1,3
1,19072022,59,"camaras",0.1429,1
1,19072022,59,"perrito",0.4286,2
1,19072022,59,"repiten",1,3
1,19072022,60,"decidida",0.5,1
1,19072022,60,"definido",1,2
1,19072022,61,"camaras",0.1429,1
1,19072022,61,"salsero",1,2
1,19072022,62,"admitiria",0.3333,1
1,19072022,62,"garabateo",1,2
1,19072022,63,"recopilaciones",0.5,1
1,19072022,63,"reconocimiento",1,2
1,19072022,64,"cara",0.25,1
1,19072022,64,"sida",0.75,2
1,19072022,64,"vida",0.75,3
1,19072022,64,"mida",1,4
1,19072022,65,"arena",0.4,1
1,19072022,65,"cedia",0.8,2
1,19072022,65,"pedia",1,3
1,19072022,66,"asiria",0.3333,1
1,19072022,66,"eolias",1,2
1,19072022,67,"peloritanos",0.4545,1
1,19072022,67,"demografico",1,2
1,19072022,68,"contraatacados",0.2143,1
1,19072022,68,"reciprocamente",1,2
1,19072022,69,"admitiria",0.3333,1
1,19072022,69,"fiumicino",1,2
1,19072022,70,"cortadas",0.375,1
1,19072022,70,"momentos",0.625,2
1,19072022,70,"molletes",1,3
1,19072022,71,"cortadas",0.25,1
1,19072022,71,"dintorni",1,2
1,19072022,72,"camaras",0.1429,1
1,19072022,72,"dotando",0.4286,2
1,19072022,72,"levanto",0.8571,3
1,19072022,72,"lepanto",1,4
1,19072022,73,"destinadas",0.4,1
1,19072022,73,"necropolis",0.3,2
1,19072022,73,"peregrinos",1,3
1,19072022,74,"contratados",0.3636,1
1,19072022,74,"producirlos",1,2
1,19072022,75,"recopilaciones",0.3571,1
1,19072022,75,"sociopoliticas",1,2
1,19072022,76,"destinadas",0.3,1
1,19072022,76,"publicista",1,2
1,19072022,77,"destinadas",0.3,1
1,19072022,77,"incluyendo",0.3,2
1,19072022,77,"greenfield",1,3
1,19072022,78,"decidida",0.25,1
1,19072022,78,"adaptaba",1,2
1,19072022,79,"camaras",0.1429,1
1,19072022,79,"perrito",0.5714,2
1,19072022,79,"predijo",0.7143,3
1,19072022,79,"previno",1,4
1,19072022,80,"artificios",0.6,1
1,19072022,80,"acrobatico",1,2
1,19072022,81,"destinadas",0.4,1
1,19072022,81,"sustitutos",1,2
1,19072022,82,"antirio",0.4286,1
1,19072022,82,"pericia",0.5714,2
1,19072022,82,"dirigia",1,3
1,19072022,83,"fundamentalistas",0.125,1
1,19072022,83,"subdesarrollados",1,2
1,19072022,84,"antirio",0.4286,1
1,19072022,84,"apetito",0.4286,2
1,19072022,84,"atomico",1,3
1,19072022,85,"cortadas",0.25,1
1,19072022,85,"pregrado",0.375,2
1,19072022,85,"andropov",1,3
1,19072022,86,"cartas",0.3333,1
1,19072022,86,"tronos",0.6667,2
1,19072022,86,"trenes",1,3
1,19072022,87,"cortadas",0.25,1
1,19072022,87,"disponer",0.375,2
1,19072022,87,"defensor",1,3
1,19072022,88,"adquiria",0.25,1
1,19072022,88,"teodosio",1,2
1,19072022,89,"camaras",0.2857,1
1,19072022,89,"gastase",0.4286,2
1,19072022,89,"pasilla",1,3
1,19072022,90,"caras",0.2,1
1,19072022,90,"peter",0.2,2
1,19072022,90,"litro",0.6,3
1,19072022,90,"ritmo",1,4
1,19072022,91,"camaras",0.2857,1
1,19072022,91,"apartar",0.4286,2
1,19072022,91,"perdian",1,3
1,19072022,92,"peloritanos",0.3636,1
1,19072022,92,"ambientales",1,2
1,19072022,93,"cortadas",0.375,1
1,19072022,93,"costeños",1,2
1,19072022,94,"deportaciones",0.3077,1
1,19072022,94,"congestionado",1,2
1,19072022,95,"caras",0.4,1
1,19072022,95,"palos",0.4,2
1,19072022,95,"naves",0.4,3
1,19072022,95,"tanis",1,4
1,19072022,96,"peloritanos",0.2727,1
1,19072022,96,"conduciendo",1,2
1,19072022,97,"caras",0.4,1
1,19072022,97,"perla",0.4,2
1,19072022,97,"forma",0.6,3
1,19072022,97,"torna",1,4
1,19072022,98,"generadas",0.2222,1
1,19072022,98,"colectiva",1,2
1,19072022,99,"asimilacion",0.4545,1
1,19072022,99,"radiaciones",0.7273,2
1,19072022,99,"operaciones",1,3
1,19072022,100,"cara",0,1
1,19072022,100,"lino",0.25,2
1,19072022,100,"knee",0.75,3
1,19072022,100,"nebe",1,4
1,19072022,101,"decidida",0.25,1
1,19072022,101,"alemanas",0.5,2
1,19072022,101,"elevaron",1,3
1,19072022,102,"peloritanos",0.1818,1
1,19072022,102,"chilaquiles",0.3636,2
1,19072022,102,"quesadillas",1,3
1,19072022,103,"caras",0.2,1
1,19072022,103,"plata",0.2,2
1,19072022,103,"fonda",0.6,3
1,19072022,103,"monja",0.8,4
1,19072022,103,"monza",1,5
1,19072022,104,"marita",0.6667,1
1,19072022,104,"marino",0.8333,2
1,19072022,104,"marido",1,3
1,19072022,105,"generadas",0.3333,1
1,19072022,105,"despierto",1,2
1,19072022,106,"marita",0.5,1
1,19072022,106,"mileto",0.6667,2
1,19072022,106,"minuto",1,3
1,19072022,107,"cartas",0.1667,1
1,19072022,107,"pongan",0.3333,2
1,19072022,107,"zigzag",1,3
1,19072022,108,"marita",0.3333,1
1,19072022,108,"traida",1,2
1,19072022,109,"camaras",0.5714,1
1,19072022,109,"morales",0.5714,2
1,19072022,109,"miramos",1,3
1,19072022,110,"peloritanos",0.4545,1
1,19072022,110,"recuperaron",1,2
1,19072022,111,"marita",0.3333,1
1,19072022,111,"hierro",0.3333,2
1,19072022,111,"griego",0.6667,3
1,19072022,111,"reggio",1,4
1,19072022,112,"caras",0.2,1
1,19072022,112,"dista",0.6,2
1,19072022,112,"gusta",0.8,3
